"job_title","job_description"
"Head APAC/EMEA Data Services","The Data Analytics Func Grp Mgr manages multiple teams of senior professionals through other senior managers. The job requires a broad and comprehensive understanding of the different systems, theories and practices relevant to a function as well as practical experience of multiple business cycles. In-depth knowledge of the industry and direct competitors' products/services is also necessary in order to contribute to the commercial objectives of the business. Requires thorough understanding of strategic direction of the function within the business, combined with a solid conceptual/practical grounding in both the function and/ or area of expertise. Excellent communication skills required in order to influence a wide range of audiences. The job is likely to be involved in both internal and external negotiations which will have a major impact on the area managed, and possibly on other related areas and organization as a whole. Develops medium- to long-term plans and executes functional strategies for a large/complex country, cluster of countries, or business requiring coordination and integration across units. Provides input into strategic decisions affecting job family or function within a region or business. Full management responsibility of multiple teams, including management of people, budget and planning. Has authority to negotiate and make independent decisions on issues/activities that have critical impact or influence on company revenues, capital or business operations. Typically, a direct report to an EB role and sits on the highest functional leadership team within a region, job function, or global business.Responsibilities:
Applies expert knowledge of the industry and direct competitors' products/services in order to drive to the commercial objectives of the business. This requires thorough understanding of strategic direction of the function within the business, combined with a solid conceptual/practical grounding in Data Science/Data Mining/Big Data.
Exhibits exceptional communication skills required in order to lead a wide range of audiences as the role will likely involve both internal and external negotiations impacting the organization as a whole.
Employs strategic vision and analysis to a range of diverse problems that require innovative and sophisticated solutions.
Develops medium to long-term plans and executes functional strategies for a large/complex country, cluster of countries, or business requiring coordination and integration across units.
Provides input into strategic decisions affecting Data Science/Data Mining/Big Data.
Assumes full management responsibility of multiple teams, including management of people, budget and planning with the authority to negotiate and make independent decisions on issues/activities that have critical impact or influence on company revenues, capital or business operations.
Ensures risk mitigation by using instituted technology delivery management and control processes to address execution challenges associated with quality, schedule and cost.
Designs delivery and technology management approach for projects and associated plans to achieve strategic business goals and operational objectives.
Owns financial responsibility for Data and Analytics standard platforms and resources.
Manages teams to interpret business requirements into technology specifications, ensures platform stability, data quality and client support.
Acquires and applies advanced knowledge of the business, products and processes to ensure data quality and business delivery.
Directs LOB technology lead managers to ensure effective project execution, risk and issue identification, management and escalation.
Manages and delivers all aspects of analytics grid and integration with new Big Data capabilities. This will include introduction and training on newest capabilities and services.
Provides rapid response resources to deliver business augmentation and data support (including data movement services).
Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency, as well as effectively supervise the activity of others and create accountability with those who fail to maintain these standards.
Qualifications:
managerial experience
degree in computer science, information technology, software engineering
15+ years relevant work experience
experience managing technology projects and resources
relevant business support and/or general analysis experience
Education:
Bachelor’s/University degree or equivalent experience, potentially Masters degree; managerial experience
This job description provides a high-level review of the types of work performed. Other job-related duties may be assigned as required.
This is the direct point of contact for APAC/EMEA heads of businesses accountable for overall service and engagement interface into all relevant business executive and other relevant functional executive committees as a permanent member attending APAC/EMEA forums.
This role will be responsible for leading the APAC/EMEA end to end data ecosystem development and management across data analytics, sales and marketing, and reporting for all the region’s and individual country’s business units and functions servicing all key senior stakeholders in all 17 countries. He/she will also be working closely with the wider global data competencies to accelerate our APAC/EMEA agenda of value creation from our new data/analytics and marketing foundational capabilities such as Hadoop platform, Cloud, Real-time data capture/processing, customer graph, and salesforce marketing cloud. He/she will work closely with various business to incubate new customer-centric use cases to then shape into new initiatives that drive growth and savings opportunities.
The candidate will build a data and digital marketing engagement team, with next generation technology capabilities, to be based in multiple cities across the APAC/EMEA region aiming to physically be co-located with our key senior stakeholders as much as possible.
He/she will provide overall data and digital marketing vision and roadmap for APAC/EMEA having co-created with our Global Domain Leaders in Data Platforms, Data Products, Advanced Analytics, and Data Insights.
He/she will directly engage with and influence top business executives. He/she will also source, incubate and pioneer with her/his teams new innovative initiatives that will leverage our new data capabilities and report to our relevant business/ops execs on the overall execution of our data and marketing initiatives for them. This executive communication will also include initiatives from various data, sales and marketing domains in our organization such as from advanced analytics and data platforms. This leader will aim to change the face of data and digital marketing thought leadership from tech in the eyes of our senior stakeholders in APAC/EMEA so that our team is no longer just a platform or infrastructure service provider but a true equal partner, who shapes the GCB business growth and personalization agenda driven by data.
The candidate will build out a new team and capability in Bangalore co-located with Shrikant Dash's Global data scientist organization for GCB providing support for model development and data engineering support for this big global function.
He/she will be driving the team realignments from the GCT Digital, Sales and Marketing organization to Data to build out a more streamlined lifecycle and data driven, customer centric ecosystem driving our digital sales and marketing in the region. This includes the COPS, CMR, Salesforce, and other teams.
Job Responsibilities
Establish business engagement capability to define and initiate new transformative and fully customer-centric data use cases against business objectives across different APAC business lines
Drive maturity in data-led innovative thinking amongst our top business execs and ops stakeholders through new tangible, market-leading initiatives and capability build followed by their full roll-out
Ensure full collaboration and leverage of our other data and analytics domains in our own wider team as well as with the so called decision management teams, who sit outside of our own organization towards a consolidated data roadmap.
Apply and scale agile delivery practices across all data initiatives
Jointly define talent, sourcing and procurement strategy; and implement across APAC/EMEA.
Lead the funding need by driving business cases underlying the new data initiatives for APAC
Maintain the financial overview responsibility for all our relevant senior business and ops execs
Own all process for local portfolio management; help shape, pressure-test, and ensure strategic alignment of Book of Work with Business partners across all lines of business
Experience Required
11+ yrs in the following:Experience leading major change and information management programs in key business area for banks, insurance companies and/or investment banking.
Strong talent focus and ability to successfully recruit and develop experts from leading organizations across the globe.
Ability to engage and influence stakeholders at all levels within an organization, from the most technical engineer to the most savvy business / executive leader.
Possess uncompromising ethics, unwavering integrity and understanding of risk & regulatory process, as well as outstanding communications and interpersonal skills.
Expertise in enterprise and application architecture (very Advanced)
Expertise in agile software and general product development ideally also applied to the data and analytics domain in previous roles
Knowledge of trends in the data and analytics technology landscape (very Advanced) with practical knowledge in Artificial Intelligence and Machine Learning
Expertise in deploying initiatives onto AWS and general practical experience of cloud data and analytics technologies specifically (AWS, Google Cloud)
Expertise in real-time data analytics engineering and technologies, real-time decisioning engines, and complex event processing – specifically having rolled such capabilities out in an agile fashion in previous jobs and companies.
General expertise and knowledge in Data Taxonomy, Data Quality Management, Meta Data Management, Reference Data Management, Industry Data Models, Master Data Management, Big data technologies including open source, Analytical tools, MI tools, Artificial Intelligence, Machine Learning, Natural Language Programming and Robotics (Advanced having gone through at least one real life enterprise-wide implementation)
General expertise and knowledge in Data Lineage, Velocity, Volume, Variety and Value (advanced)
General expertise and knowledge in Data Instrumentation & standards (advanced)
General expertise and knowledge in Data Collection & Capture (advanced)
General expertise and knowledge in Data Consolidation & Warehousing (advanced)
General expertise and knowledge in Data Detection & Extraction (advanced)
10+ years in technology implementations with data impact catered to different business functions within an organization
10+ years of KPI-focused implementations of technology initiatives stamped as successful by target business audiences.
10+ years’ experience in managing data as part of solutions and implementation
15+ years’ enterprise architecture strategy and implementation experience
15+ years’ business stakeholder management experience whilst being placed in a technology division
English skills 100%
Special Abilities
Be creative, imaginative and passionate, driven by a desire for innovation and creation of continuously amazing client experiences – smart risk taking – outside the box thinking
Possess first hand insights into the way that digital transformation is affecting industry and knowledge of best practices
Demonstrate an ability to identify and act upon unique insights and apply them to solve unmet needs and an expertise leveraging/synthesizing competitor, emerging technology, and other marketplace trends to draw out implications to support the team's overall mission and goals
Ability to bring business and technology together to operate as one, enabling technology led, business transformation execution
Education
Bachelor’s degree ideally in combination of business administration and computer science, information technology, software engineering or a related field; Master’s degree preferred
-
Grade :All Job Level - All Job FunctionsAll Job Level - All Job Functions - SG
-
Time Type :
-
Citi is an equal opportunity and affirmative action employer.
Minority/Female/Veteran/Individuals with Disabilities/Sexual Orientation/Gender Identity.
Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity CLICK HERE.
To view the ""EEO is the Law"" poster CLICK HERE. To view the EEO is the Law Supplement CLICK HERE.
To view the EEO Policy Statement CLICK HERE.
To view the Pay Transparency Posting CLICK HERE."
"Data Scientist – Thai Speaking M/F","You have a passion for programming and algorithms ? Come and join the Insurtech leader to change the insurance world with A.I.!
As a member of the data science team, and working alongside our technical experts, your role will be key to roll-out our different solutions to the clients. Your day-to-day will include :
Set-up and deploy in production our solution for our clients, including handling data by batches or in real-time through API (including data cleaning and feature engineering), fine tuning our fraud detection models but also exploring new algorithms to detect additional fraudulent patterns (through anomaly detection and unsupervised learning) etc...
Work closely with our clients to understand their needs, their feedbacks to improve our solutions
R&D for product development and innovation (through machine learning, image analysis, NLP, trend analysis, chatbots…)
Work closely with the sales team for prospects demo (and yes, that includes travelling worldwide!)
Your profile
You have a master’s degree in either Mathematics, Statistics, Computer Science (a knowledge in machine learning and/or Big Data is a plus)
You have experience in object-oriented programming
You combine strong analysis with synthesis abilities and are not afraid to deal with the details
You can write quality production code
You are comfortable dealing with clients
You can communicate clearly in Thai and English.
Want to know more?
Full-time role, to start asap in Singapore
Attractive compensation (depending on profile, experience and expertise)
To apply, send us your resume and let us know why we could be a great fit!
Recognized by Wired as one of Paris’ hottest startups and proud member of the Next40, here at Shift Technology we are using advanced artificial intelligence and data science to help revolutionize insurance from the inside out. We started with fraud, where we've built a fast-growing business that is scaling globally; and now we're helping insurance companies to automate claims, all the way from the user experience to the payment processing."
"Data Analyst","Roles & ResponsibilitiesWork with business stakeholders to implement data science and/or machine learning projects
Create predictive, prescriptive and/or explanatory models
Generate actionable insights for business
Research and understand the latest technologies to propose new innovative ideas
RequirementsDegree in Computer Science, Data Science or its equivalent
At least 3 years of experience in data science for data scientist role
Hands-on programming experience with Python
Experience in using machine learning (ML) and artificial intelligence (AI) tools, such as SK-Learn, Tensorflow, Keras etc
Good understanding of how the various common ML/AI techniques work (Regression/Classification/Clustering)
Strong analytical and problem-solving skills
Additional experience in data visualization and/or knowledge of reinforcement learning is a plus"
"Data Scientist","An excellent opportunity to gain experience in machine learning as a Data Scientist with a well-established bank.

Mandatory Skill(s)
Masters/ Bachelors in Statistics, Applied Mathematics, Computer Science or Decision Science;
Good hands on experience solving business problems using Data Mining, Machine Learning and Statistical Modelling;
Extensive experience working with very large data sets, including statistical analysis, data visualization, data mining, and data cleansing / transformation and machine learning;
Experience using statistics, analytical software / tools / platform such as R, Python, SAS, Hadoop and SQL;
Proficiency in using databases like Teradata, Oracle, SQL Server and others;
Able to apply scientific thinking to solve business problems using analytics and data;
Excellent writing skills, good verbal communications skills and good presentation skills.
Desirable Skill(s)
Experience of working in financial services industry (ecommerce, technology, consumer banking, telecoms and retail).
Responsibilities
Solve business problems using machine learning, data mining, statistical modelling and data analytics;
Understand requirements from the business stakeholders;
Translate business requirements into a problem that can be quantified and solved with analytics and data;
Mine data and analyse them to drive optimization and improvements of processes and customers experience;
Provide analytics solutions across the Bank ranging from recommendation engines, propensity models, customer segmentation, graph models, pricing and more;
Develop machine learning and statistical modelling."
"Data Scientist","ï¬Major Healthcare company in Singapore
ï¬Newly created role
ï¬Attractive remuneration
Job scope:
Our client is one of the prominent Healthcare firm in Singapore. Its looking to build team of highly experienced Data scientist in Singapore. This role will be focusing on Data Science development applications in Healthcare. You will be working with large internal and external datasets to build AI & Big Data solutions for Healthcare services industry that can dramatically improve customer service efficiency and quality.
Requirement:Higher degree holder in any quantitative discipline like MS or PhD in Computer Science, Engineering or allied field.
More than 5 Years of Experience in Data Science and/or Big Data with strong focus on predictive modelling.
Strong work experience with Python as well as R or SQL.
Strong experience on Latest technologies like NLP, Artificial intelligence and ML.
Strong communication skills and organizational coordination ability.

Desired Skills & Experience
Data Science
Machine learning & Big Data
Predictive Modeling
Python, R
Hadoop

To submit your application, please apply online using the appropriate link below or email your CV in Word document at recruiter@saglconsulting.com quoting âData Scientistâ in your subject title. Your interest will be treated in the strictest of confidence.

EA Lincence no. 18S9416

Looking for experienced Data Scientist strong in Big Data, AI, ML and has used Python or R programming language. Attractive remuneration, based in Singapore, Full time job. Locals or PRs preferred"
"R&D Scientist","Roles & ResponsibilitiesCreates previously unknown technology or significantly differentiates existing sliver paste products
Solves complex technical problems, applies technology in new ways, develops and recommends new alternatives by utilizing expertise to accelerate the development of new products
Independently plan, direct, and conduct research activities and experiments supporting the design of new products to the customer or industry specifications or the modification of existing products for new applications
Lead product development teams as assigned
Act as a leader and mentor to engineers and/or technicians conducting research activities under his or her guidance
Sets precedents within limits and administers operating rules and procedures under management guidance
Analyze/identify/solve problems or customer complaints regarding existing products and originate formula or process changes for new applications
Engage internal and external raw material and equipment suppliers
Remain abreast of technical developments in the field; obtain information through literature and patents
Maintains regular interaction to provide a detailed explanation or technical responses to both internal and external parties
Function as a resource to sales, marketing, technical service, and manufacturing
Attend technical conferences, trade shows, and educational courses to remain current in the field as it relates to existing and future technologies; ability to present at same
Author technical reports, technical papers, patent applications, project updates, and technical overviews as required
Record precise results and findings in laboratory book, database and/or files
Review and provide updates to product data sheets and technical data packages
Follow safety guidelines for handling materials with the use of protective equipment as required
Maintain organization and cleanliness of work area, laboratory instruments, and equipment
Handle confidential information with care
Provide leadership, supervision, and training as assigned by VP of Technology which may include goal setting, development appraisals, and maintaining positive employee relations within the department
Adherence to Code of Conduct as applicable to job function: CoC Guideline No. 1: Guideline for the Procurement of Products and Services, No. 2: Guideline for the Prevention of Bribery in Commercial Transactions, No. 3: Guideline for the Acceptance of Precious Metals and No. 4: Guideline for the Prevention of Money Laundering and Participation in Criminal Acts.
Responsibility to ensure that direct reports and overall employee population are also aware and adhere to the Code of Conduct Guidelines.
Education and/or Experience
A minimum of a Masters Degree in Materials Science or related field and a minimum of six to eight years of laboratory experience are required. A minimum of six (6) years of specialized experience should be in one or more of the following areas: Si-based PV processing, glass or ceramic science, particle science, organic/inorganic chemistry, colloidal chemistry, surface chemistry, and coatings or related field. Glass or ceramic science, colloidal science, and particle science is preferred. Knowledge and formulation experience of thick film paste/ink is required. Ph.D. and two to four years of experience is preferred. The equivalent combination of education and experience will be considered. Self-starter with attention to detail required. Demonstrate a high level of professionalism and leadership ability; exhibit a high level of motivation and initiative. Must have a proven track record of successful product development, fundamental breakthroughs, and/or new field establishment. Must be a well-respected expert in the industry."
"Security Data Scientist","Roles & Responsibilities
Ultimate Software is looking for a Security Data Scientist for our Singapore office. The SOC is dealing with an ever increasing volume of data everyday. With more customers on- boarded and the ever growing sophistication of attack vectors, the SOC has to leverage on data science to help them understand and process the data better and faster. The employee is expected to develop prototypes with the use of data science techniques to assist SOC in covering the grounds to ensure no malicious activities go unnoticed.
Here at Ultimate Software, we truly put our people first. We strongly believe in teamwork, and we encourage and trust our people to reach higher, learn more, and live up to their potential. Ultimate is ranked #1 on Fortune's Best Places to Work in Technology for 2019 and #8 on the 100 Best Companies to Work For list in 2019. Ultimate is also ranked #1 on Fortune’s 75 Best Workplaces for Women and #5 on its Best Workplaces for Diversity list.
Requirements
Primary/Essential Duties and Key Responsibilities:
Build and develop machine learning models to detect malicious activities.
Develop novel techniques in tackling SOC day to day challenges.
Perform exploratory data analysis to help SOC understand the data better to make better decisions.
Assist SOC in developing new techniques to defend against known malicious attacks.
Rapid prototyping of ideas to test out proof-of-concepts.
You will be working with a team of security data scientists focusing on applying machine learning to catch the bad guys. You are someone who is passionate about Cybersecurity. You will use exploratory data analysis (EDA) and visualization techniques to understand our data. You will find patterns and anomalies to derive security insights and uncover suspicious activities in our networks. You will build models to detect and prevent malicious behaviors and actions.
You will work alongside with our security teams to understand how we analyze attacks and gather ground-truth data for our models. You will participate in threat hunting programs to look for threats that evade our existing security solutions using analytical-driven techniques and develop your findings into security detections. You will also correlate information received from both internal and external sources to provide contextual intelligence to enhance our ability to protect Ultimate Software and our customers.
In short, this is an exciting opportunity to work hand-in-hand with our security teams to ensure that we are always one step ahead of our adversaries.
Required Qualifications:
Passionate to learn and share knowledge with the team.
Bachelor's or Master's degree in Computer Science or a related discipline.
Bachelor's or Master's degree in Computer Science or a related discipline
Hands-on experience with Python, NumPy, pandas, scikit-learn, H2O, TensorFlow/PyTorch.
Hands-on experience with developing large-scale supervised and unsupervised machine learning models
Hands-on experience with developing CNN, and RNN/LSTM models in TensorFlow/PyTorch
Hands-on experience in performing large-scale data wrangling in a reproducible manner
Hands-on Linux command-line and administration experience
Meticulous reporting skills
Travel Requirements:
Limited travel upon requestThis job description has been written to provide an accurate reflection of the current job and to include the general nature of work performed. It is not designed to contain a comprehensive detailed inventory of all duties, responsibilities, and qualifications required of the employees assigned to the job. Management reserves the right to revise the job or require that other or different tasks be performed when circumstances change.
Ultimate Software has an accommodation process in place and provides lawful accommodations throughout the hiring process. If you require a specific lawful accommodation because of a disability or medical need, please let us know in advance. If you are an applicant and need a reasonable accommodation when applying for job opportunities within the Company or request a reasonable accommodation to utilize the Company’s online employment application, please contact careers@ultimatesoftware.com."
"Data Scientist Financial Services","Roles & Responsibilities
We offer you the chance to:
Support Singapore and international strategic projects
Explore our unique expertise in the areas of strategy, marketing, sales and pricing
Join a down-to-earth corporate culture with a flat hierarchy, open communication and team spirit
Requirements
 Your professional profile:
Delivering End to End data science projects while collaborating with both internal and external stakeholders
Conduct data quality assessment & design solutions to detect and improve data quality problems
Clean and prune source data to provide data operation support for data analysis/mining
Working with huge data sets, this includes processing, manipulation and analysis required for modelling
Understanding of relational database concepts and familiarity with common database
Analysing data trends, correlations and patterns in complicated data sets; and translating data into useful insights which will drive business and operational decisions
Set up and implement enhancements to automate and simplify data reporting process
Knowledge in data visualization tools (Tableau, PowerBI), ability to develop interactive Tableau dashboards or reports for various data explanatory or exploratory purposes for management & operational use cases
Diploma engineering, statistics or natural science (preferred mathematics, physics)
Fluent in business English (written and spoken)
Proficient knowledge of SQL
Knowledge of VBA, Java; Python, MatLab or RYour personal profile:
Strong analytical capabilities & programming skills
Ability to work independent
Enthusiasm for working in teams and strong communication skills
Customer-oriented thinking
Flexibility and willingness to travel (substantial travel required)"
"Data Scientist, Regional Analytics Centre of Competence","Big data, artificial intelligence and advanced analytics are transforming the insurance industry across the value chain. Munich Re is at the forefront of this trend, having made a significant investment in start-of-the-art analytics infrastructure and software, central and regional analytics centres of competence and several successful analytics initiatives with its clients worldwide.
Munich Re has experienced exponential growth in demand for analytics pilots from its clients in life, non-life and health. An exciting opportunity exists for a data scientist with advanced analytics skills to join Munich Re’s regional analytics centre (RAC) of competence located in Singapore. The RAC supports Munich Re’s Asia-Pacific (including China and Australia), Middle East and Africa business life and health business region. As such you will work in an agile and innovative area, gaining exposure to a wide variety of business problems, other teams of Munich Re, clients and geographies.
Using advanced analytics methods to derive actionable insights from existing and new sources of data, the role will contribute towards new services and business models. Predictive analytics applications will span the entire insurance value chain from transforming the customer experience during underwriting, cross-selling, pricing and experience analysis, lapse prevention through to claims management decisions. In this position you will cooperate closely with our clients, actuaries, underwriters, client managers, the IT department, other analytics teams worldwide including at our head office in Munich. You will apply Machine Learning (ML) and Deep Learning (DL) methods to interpret all types of data (structured, unstructured, images, etc.) and build solutions to and solve real problems our clients are facing today.
You will play a leading role in the execution of the full modeling cycle, including the integration of data, selection and application of predictive modeling techniques, model validation and deployment, and engagement with clients on results.
The opportunity to be a lead data scientist in a vibrant, leading global reinsurance company with diverse data to enable innovative data analytics
Develop insurance business solutions based upon insight discovered from data
Active participation and management of projects in the fields of statistics, ML and DL
Development and implementation of solutions that enable operational units to increase quantity and quality of new business
Supporting and advising the business units in applying the latest research methods and providing a central source for specialized know-how, tools and techniques for data analytics
Presentation of statistical, ML and DL solutions to internal and external stakeholders
Networking with already existing data-intensive units in the area of analysis and reporting, as well as with IT to form an analytics community.
Collaborate with internal partners in Life and Health and the data analytics centre in Munich to leverage capabilities in big data technologyMaster’s or Ph.D. in data science / advanced data analytics, statistics, applied mathematics, information technology, engineering, computer science, or a comparable discipline.
More than 3 years of industry data science / AI / ML experience
Experience:
Very good theoretical knowledge of AI, ML and DL methods
At least 3 years hands-on coding in R, Python, SQL (e.g. ETL), Jupyter Notebooks, etc.
MUST have demonstrable experience in coding and applying traditional regressions (e.g. GLMs), ML (decision trees, random forest, boosted trees, etc.), natural language processing, DL, visualization in PowerBI) in a business environment
Worked on data science virtual machines on the cloud (Azure, AWS, etc.)
Understanding of RESTful APIs and microservices
Requires very strong abilities in problem solving including managing data mining and cleansing, with broad knowledge of economics, insurance, marketing, optimization, machine learning and database science
Proven competence in the identification and integration of external data sources
Strong communication and business relationship skills to effectively explain analysis, both verbally and in writing, to others and translate analysis into meaningful solutions
Ability to deliver insights from data under short but reasonable timelines
Capacity for innovation, forward-looking and, meeting realistic timelines, enjoy working in a team as well as very high level of commitment
Good command of English essential and ability to speak and read Japanese is a strong advantage
Willingness to travel within Asia for short periods
Experience of insurance/reinsurance industry would be an advantage
Our business model is based on the combination of primary insurance and reinsurance under one roof. We take on risks worldwide of every type and complexity, and our experience, financial strength, efficiency and first-class service make us the first choice for all matters relating to risk. Our client relationships are built on trust and cooperation. If you would be interested in helping shape the future as part of one of our teams, we look forward to hearing from you."
"Chief Data Scientist","Roles & Responsibilities
The Data Scientist assists in design and implementing processes and logic to extract, transform, and load data from multiple data sources. He/She analyses large, complex, multi-dimensional data from multiple sources using machine learning techniques, advanced statistical analysis and predictive modelling on to obtain business insights and recommendations.
Requirements
Require a PhD in Econometrics / Data Science and substantial experience in data science and econometrics.
3+ years experience working in a bank industry as a data science role, such as statistics, machine learning, deep learning, quantitative financial analysis, data engineering or natural language processing. Build domain expertise in financial market content."
"Data Sciences & Analytics Engineer (Data Science Track)","Roles & Responsibilities
SIA has multiple positions for junior and senior data scientists to drive our business analytics, data science and AI initiatives. Responsibilities include the following:
Member of an in-house data analytics and AI development team that works on machine learning (including NLP, image recognition, recommender system, deep learning), experimental design, and optimization.
Oversee the technical work and provide datasets to external technology partners to deliver products/services in data analytics, data science and AI. Support business users in the assessment/validation of partner-supplied prediction models and in their deployment to production.
Help business units create Tableau dashboards with relevant datasets. Extract insights through data visualization.
Work closely with application development teams to operationalize and integrate analytics/machine learning capabilities into production systems using RESTful-API microservices.
RequirementsBS in Computer Science, Mathematics, Statistics, Physics or related discipline is required. Advanced degree related to analytics, machine learning or AI is preferred.
Intermediate or advanced programming skills in Python. Conversant with algorithm design, data structure and SQL. Functional/object-oriented software development experience using Java or Scala is a plus.
At least 2 years of relevant industry experience in two or more of the following areas:
Hands-on skills in shallow machine learning, AI, or information retrieval. Experience in GPU-accelerated deep learning frameworks (such as Keras, TensorFlow, PyTorch) is a plus.
Knowledge and working experience in workflow, map-reduce or stream processing systems such as Spark and Kafka.
Knowledge in statistics, especially Bayesian statistics and inference.
Knowledge and working experience with data visualization tools like Tableau, PowerBI and Qlik.
Experience with Agile/Scrum/Kanban methodologies is a plus.
Hands-on experience with AWS, GCP or similar public cloud environment is a plus.
Excellent interpersonal & communication skills to work with non-technical business users.
Proven ability as a problem-solver."
"Senior Scientist","Roles & Responsibilities
Duties & Responsibilities
Perform onsite installation and trainingManage assigned territory independently (e.g. travel, schedule)Provide technical support, including troubleshooting, webex-based customer education, and general support of the Phenoptics and CODEX™ workflows and data analysisAccurately record pertinent information in Customer Relationship Management system.Be the customer advocateProactively provide user feedback on applications, workflow, and components
Required
Bachelor's degree5+ years Field Application Science experienceTravel 40% of time with some overnightsValid driver’s license
Skills and qualifications
Imaging Specialist (Wide-Field Fluorescence Microscopy: Keyence, Leica, Zeiss, Nikon)Skilled in antibody-based assays, including immunofluorescence, and immunohistochemistryProven ability to quickly learn large amounts of new, complex technical informationFamiliar with automated instruments with fluidics componentsDemonstrated excellent customer relations skillsProblem-solving abilityExcellent communication skillsAbility to manage multiple priorities"
"Data Scientist","Roles & ResponsibilitiesDevelop data science solutions to support AML and Financial Crime Investigation activities in the organization.
Design analytical solutions and experiments.
Conduct data exploration, feature engineering, visualization and develop models.
Be a thought-leader and drive innovation within the organization.
RequirementsDegree in a quantitative subject (e.g. Computer Science, Statistics, Mathematics, Artificial Intelligence, Machine Learning or related field).
Minimum 5 years of working experience with AI, ML, Data Science or a related field.
Strong proficiency in at least one programming language. Experience with Python preferred.
Experience in applying machine learning techniques and designing algorithms that are scalable and production-grade.
Clear communicator, with the ability to articulate ideas with data.
Experience with operating in a corporate environment and stakeholder management.
Strong results driven personality with an innovative spirit.
Preferred:
Experience with network analysis techniques and in developing machine learning solution in the AML field would be a strong advantage.
Exposure to financial crime investigations and familiarity with existing and emerging criminal topologies would be advantageous, though not required."
